"","chart_position","title","artist","year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","duration_ms","explicit","popularity","genre1","genre2","genre3","genre4","genre5"
"1031",33,"Break My Heart","Dua Lipa",2020,0.73,0.729,4,-3.434,0,0.0883,0.167,0,0.349,0.467,113,"017PF4Q3l4DBUiWoXk4OWT",221820,"FALSE","83","dance pop","pop","pop dance","uk pop","dance pop"
"1032",34,"Chasin' You","Morgan Wallen",2020,0.631,0.591,7,-5.785,1,0.0277,0.657,0,0.11,0.489,97,"5MwynWK9s4hlyKHqhkNn4A",205453,"FALSE","78","contemporary country","deep talent show","contemporary country","deep talent show","contemporary country"
"1033",35,"Savage Love (Laxed - Siren Beat)","Jawsh 685 Jason Derulo",2020,0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150,"1xQ6trAsedVPCdbtDAmk0c",171375,"TRUE","87","nz pop","nz pop","nz pop","nz pop","nz pop"
"1034",36,"No Guidance","Chris Brown Drake",2020,0.696,0.454,1,-6.756,0,0.153,0.123,0,0.155,0.136,93,"6XHVuErjQ4XNm6nDPVCxVX",260640,"TRUE","82","dance pop","pop","pop rap","r&b","rap"
"1035",37,"My Oh My","Camila Cabello DaBaby",2020,0.724,0.491,8,-6.024,1,0.0296,0.018,0,0.0887,0.383,105,"3yOlyBJuViE2YSGn3nVE1K",170746,"FALSE","80","dance pop","electropop","pop","pop dance","post-teen pop"
"1036",38,"Dynamite","BTS",2020,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114,"4saklk6nie3yiGePpBwUoc",199054,"FALSE","91","k-pop","k-pop boy group","k-pop","k-pop boy group","k-pop"
"1037",39,"Go Crazy","Chris Brown  Young Thug",2020,0.755,0.578,0,-8.932,0,0.145,0.316,0,0.25,0.581,94,"1IIKrJVP1C9N7iPtG6eOsK",176960,"TRUE","84","dance pop","pop","pop rap","r&b","rap"
"1038",40,"High Fashion","Roddy Ricch Mustard",2020,0.831,0.499,11,-8.442,0,0.114,0.269,0,0.3,0.511,98,"07KXEDMj78x68D884wgVEm",220487,"TRUE","80","melodic rap","rap","trap","melodic rap","rap"
"1039",41,"Laugh Now Cry Later","Drake Lil Durk",2020,0.761,0.518,0,-8.871,1,0.134,0.244,0,0.107,0.522,134,"2SAqBLGA283SUiwJ3xOUVI",261493,"TRUE","88","canadian hip hop","canadian pop","hip hop","pop rap","rap"
"1040",42,"Woah","Lil Baby",2020,0.882,0.602,11,-5.554,1,0.245,0.0177,0,0.178,0.43,143,"598yNsG1JFrGd4n2kMoz7F",183011,"TRUE","72","atl hip hop","atl trap","rap","trap","atl hip hop"
"1041",43,"Death Bed","Powfu beabadoobee",2020,0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144,"7eJMfftS33KTjuF7lTsMCx",173333,"FALSE","88","emo rap","sad rap","emo rap","sad rap","emo rap"
